Etiquetas de fila;AMAZONAS;ANTIOQUIA;ARAUCA;ATLÁNTICO;BOLÍVAR;BOYACÁ;CALDAS;CAQUETÁ;CASANARE;CAUCA;CESAR;CHOCÓ;CÓRDOBA;CUNDINAMARCA;Guainía;GUAJIRA;GUAVIARE;HUILA;MAGDALENA;META;NARIÑO;NORTE DE SANTANDER;PUTUMAYO;QUINDÍO;RISARALDA;SAN ANDRÉS;SANTANDER;SUCRE;TOLIMA;VALLE;Vaupés;VICHADA;Total general
08-dec-2011;;10;1;;1;;;;;4;;;1;2;;1;;4;;;2;;;;1;;1;;3;9;;;40
08-feb-2011;;16;;4;;;;1;;1;1;;;5;;;;3;2;;;;1;;;;3;1;2;12;;;52
08-jan-2011;;14;;3;1;;3;;1;;;;;2;;1;;1;1;4;4;1;;;;;2;2;1;17;;;58
08-jul-2011;;39;;1;;;2;;;1;;;1;10;;1;;3;;2;1;;;1;1;;;2;1;5;;;71
08-jun-2011;;18;1;;1;;;1;;1;1;;;9;;;;1;2;2;3;2;;;;;1;;;3;;;46
08-mar-2011;;21;;;;;;2;;;1;;;17;;2;1;3;;4;1;2;;;1;;;;;12;;;67
08-may-2011;;9;;3;1;;;1;;3;1;;;5;;1;;3;1;1;2;3;;;;1;1;1;;10;;;47
08-nov-2011;;17;;2;;;;;;2;;;;8;;1;;6;1;1;5;3;;;;1;;1;2;6;;;56
08-oct-2011;1;6;;5;;;;;;4;2;;;5;;;;3;;3;1;;2;;3;;1;;2;9;;;47
08-sep-2011;;20;1;2;;;;;;2;1;;;7;;1;;5;1;1;5;2;;1;1;;;;4;10;;;64
09-apr-2011;;21;;3;2;;;;;2;1;;;1;;;;3;;4;2;;;;;;4;;1;8;;;52
09-aug-2011;;15;;2;;;;;;3;;;;9;;1;;3;;2;4;3;;;;;;;1;19;;;62
09-dec-2011;;24;2;2;;;;;;2;;;;5;;;;1;1;4;2;2;;;;;;2;;14;;;61
09-feb-2011;;19;;5;1;;1;;1;1;2;;;4;;2;;1;1;2;3;;;;1;;2;1;;12;;;59
09-jan-2011;;13;;1;;2;1;;;2;2;;;2;;1;;4;;3;;1;;;;;1;;;6;;;39
09-jul-2011;;20;;1;1;1;;;;;1;;;4;;1;1;2;1;1;;;;1;1;;1;2;;4;;;43
09-jun-2011;;21;;2;1;;;;;2;1;;1;7;;;;1;1;;8;1;;;;;1;;1;9;;;57
09-mar-2011;;22;1;2;1;;;1;;3;2;;;4;;;;1;3;1;3;5;;1;1;;2;;;16;;;69
09-may-2011;;15;;4;;;;;;;1;;;6;;;1;6;;1;3;2;;;2;;;1;1;15;;;58
09-nov-2011;;28;1;8;;1;;1;;1;2;;;12;;;;2;;1;5;1;2;;1;;1;1;1;10;;;79
09-oct-2011;;13;;1;2;;;;;1;1;;;2;;;;3;;1;2;2;1;;;;1;1;2;6;;1;40
09-sep-2011;;33;;;;1;;;;2;;;;10;;1;;;;;3;1;;;;;1;1;1;7;;;61
10-apr-2011;;8;;1;1;;;;1;1;;1;;1;;;;5;;3;1;1;;;1;;2;;;9;;;36
10-aug-2011;;25;;5;1;;;;;2;3;;;8;;2;;5;;3;2;1;;;;;2;;1;9;;;69
10-dec-2011;;13;;3;2;;1;;;1;;;;3;;;;4;1;1;1;1;;3;2;;5;1;;15;;;57
10-feb-2011;;18;;4;;;1;3;;2;3;;;4;;;;2;1;2;5;;1;;4;;;4;2;12;;;68
10-jan-2011;;6;;1;;;;1;;1;;;;4;;;;1;1;1;1;1;;;1;;;2;;10;;;31
10-jul-2011;;6;;3;1;2;1;;;2;1;;;4;;;;3;;2;2;;;;;;;;;10;;;37
10-jun-2011;;31;;2;;;;1;;;1;;;8;;1;;1;;2;3;1;;;1;;2;1;1;9;;;65
10-mar-2011;;13;;2;;;;;;1;;;;8;;1;;1;1;2;1;;;;1;;;2;1;13;;;47
10-may-2011;1;23;;2;1;;;;;;1;;;8;;;;5;;1;3;2;;1;;;3;2;;11;;;64
10-nov-2011;;25;;2;2;;;1;;3;;;;6;;2;;2;;1;5;2;;;1;;1;1;3;14;;;71
10-oct-2011;;20;;7;2;;;;;1;2;1;1;1;;;;4;;;1;4;1;1;1;;1;1;;8;;;57
10-sep-2011;;25;;2;1;1;;;;2;;;;3;;2;;4;1;;;1;;;1;;4;;1;13;;;61
11-apr-2011;;16;;6;;;;1;;1;1;;;8;;;;3;1;1;5;1;;;;;1;;1;13;;;59
11-aug-2011;;24;;6;;;;;;1;;;;1;;;;1;2;2;4;1;;;;;;;1;10;;;53
11-dec-2011;;8;;1;2;;;;;3;1;;;3;;;;4;;;;5;;;;;1;1;3;10;;;42
11-feb-2011;;24;;5;;;1;;;4;2;;;5;;;;6;;1;1;;;1;2;;2;;;11;;;65
11-jan-2011;;15;;5;1;;;;;3;;;;6;;1;;3;1;3;5;;;;;;;;1;14;;;58
11-jul-2011;;17;;4;4;1;;;1;;;;;7;;1;;2;1;;3;1;;;1;;2;;1;7;;;53
11-jun-2011;;15;;3;2;;;1;;;1;;;4;;1;;2;5;;4;1;;;1;;3;2;3;5;;;53
11-mar-2011;;11;1;7;;;;;;2;3;;;5;;;;4;2;2;2;;;1;1;;1;;1;15;;;58
11-may-2011;;35;1;4;;1;;;2;;1;;;15;;;;2;;1;2;;;;1;;;;1;21;;;87
11-nov-2011;;30;;4;;;1;;;4;;;1;10;;2;;3;1;;2;2;2;1;;;2;1;;6;;;72
