Etiquetas de fila;AMAZONAS;ANTIOQUIA;ARAUCA;ATLÁNTICO;BOLÍVAR;BOYACÁ;CALDAS;CAQUETÁ;CASANARE;CAUCA;CESAR;CHOCÓ;CÓRDOBA;CUNDINAMARCA;Guainía;GUAJIRA;GUAVIARE;HUILA;MAGDALENA;META;NARIÑO;NORTE DE SANTANDER;PUTUMAYO;QUINDÍO;RISARALDA;SAN ANDRÉS;SANTANDER;SUCRE;TOLIMA;VALLE;VAUPÉS;VICHADA;Total general
07-jan-2012;;13;1;7;;;;;2;1;1;;1;4;;1;;2;2;;1;3;;;1;;1;1;1;9;;;52
07-jul-2012;;17;;4;1;;;;;4;1;;;1;;;;6;3;4;2;1;1;;;;1;2;;16;;;64
07-jun-2012;;30;1;2;;;;;1;;2;;2;4;;;;5;2;1;2;2;;4;;;;;;12;;1;71
07-mar-2012;;19;;4;3;;;2;1;5;2;2;1;4;;;;1;;2;4;3;;;2;;;2;1;13;;;71
07-may-2012;;16;1;3;;1;;1;;4;1;;;7;;1;1;6;2;2;7;2;2;2;;;4;;2;9;;;74
07-nov-2012;;5;;2;2;;1;;;2;2;;1;5;;1;;2;1;;2;;;;1;;2;1;;11;;;41
07-oct-2012;;8;;;1;;;1;;3;4;1;1;4;;1;;4;;3;3;2;;;;;2;;1;3;;;42
07-sep-2012;;13;1;3;1;;;1;1;2;4;;;5;;4;;7;1;3;;1;1;;1;;1;;3;20;;;73
08-apr-2012;;14;;1;2;;;;2;3;1;;;1;;1;;5;2;5;2;1;1;;;;2;;;7;;;50
08-aug-2012;;35;;3;;;1;2;1;1;2;;;5;;1;;7;;2;2;2;;;1;;1;1;2;15;;;84
08-dec-2012;;4;;1;3;;;1;;4;;3;;2;;1;;6;;;2;1;;;;;4;2;4;10;;;48
08-feb-2012;;32;;1;2;;;1;1;3;;1;;7;;;;7;1;2;4;1;1;2;1;1;2;;4;6;;;80
08-jan-2012;;13;;3;1;;;;;4;2;;;2;;;;5;2;3;2;5;;;;;;;2;10;;;54
08-jul-2012;;10;1;1;1;;;;2;3;;;1;3;;1;;7;2;2;3;;;;3;;2;;1;17;;;60
08-jun-2012;;26;;3;;;1;1;1;8;;;1;6;;;;2;;1;4;3;;;;;2;;;12;;;71
08-mar-2012;;23;;6;;;;1;1;2;2;;;8;;1;;6;1;2;2;;;1;;;2;2;3;10;;;73
08-may-2012;;25;;2;;1;;;;8;1;;2;7;;3;;4;3;;3;3;;1;;;2;;6;12;;;83
08-nov-2012;;2;;3;1;;1;;1;1;3;1;1;7;;;;2;;1;2;1;;1;1;;;;4;14;;;47
08-oct-2012;1;23;;6;;;;;;3;1;1;;10;;;;4;1;2;3;;;;;1;2;;;9;;;67
08-sep-2012;;13;;1;2;;;;1;8;1;2;2;2;;2;;7;3;1;5;3;1;;3;;1;1;2;8;;1;70
09-apr-2012;;18;2;4;3;;1;;;1;2;;;9;;1;;1;1;1;2;3;;;1;;;;1;11;;;62
09-aug-2012;;29;;3;;;;1;;4;;;1;6;;1;;7;1;1;1;2;;;1;;5;;2;15;;;80
09-dec-2012;;4;;;1;;;1;;3;1;1;;4;;;;1;;2;3;2;;1;2;1;1;;;6;;;34
09-feb-2012;;23;1;4;;;;;;3;1;1;;7;;1;;4;;;2;;;;1;;1;;2;12;;;63
09-jan-2012;;13;;2;1;;;;1;2;3;;;1;;;;5;2;1;3;2;1;;3;;1;;1;6;;;48
09-jul-2012;;26;;6;;;;2;1;2;;;;7;;2;;1;3;1;2;;;1;2;;1;;1;11;;;69
09-jun-2012;;16;;4;3;;1;1;;3;1;;1;4;;;;5;2;4;3;;;1;1;;2;2;;17;;;71
09-mar-2012;1;23;1;8;;1;;;1;1;1;;;8;;1;;1;1;;7;2;1;1;1;;1;3;1;6;;;71
09-may-2012;1;23;;4;;;;;;4;1;;1;5;;;;2;;3;6;2;;;1;;2;;1;9;;;65
09-nov-2012;;4;;3;;;;;;2;;;;6;;1;;2;;1;;;1;1;;;3;2;1;8;;;35
09-oct-2012;;23;;3;2;;1;;;5;;1;;4;;2;;2;;;3;;;1;1;;;1;2;9;;;60
09-sep-2012;;6;;2;1;;;2;;3;3;2;;4;;2;;4;2;;3;2;;;;;2;1;2;11;;1;53
10-apr-2012;;21;;4;2;;1;1;1;2;1;1;1;11;;1;;3;;1;2;3;1;1;1;1;1;;1;12;;;74
10-aug-2012;;25;;3;;;;;;4;;;;8;;;;2;1;3;2;2;1;1;;;1;2;;15;;;70
10-dec-2012;;7;;7;2;;;;;2;1;1;;6;;1;;3;;;2;2;;;1;;;1;5;12;;;53
10-feb-2012;1;29;;5;1;;;2;;2;1;;;5;;1;;3;;4;7;3;;2;;1;2;2;3;17;;;91
10-jan-2012;;30;;5;1;;1;;1;2;;;;7;;2;;1;;3;2;3;;;;;1;1;2;10;;;72
10-jul-2012;;17;;3;;;;;;;2;;;6;;;;7;;1;2;2;;;;;;;2;24;;;66
10-jun-2012;;14;;1;1;;;2;2;10;;;1;1;;1;;5;1;1;4;;1;;1;;;3;;8;;;57
10-mar-2012;;18;;1;1;;1;;1;3;1;1;3;1;;2;;5;;4;2;1;2;;1;;2;3;1;22;;;76
10-may-2012;;21;;3;1;;;1;;;1;;;6;;1;;3;;2;1;2;;1;;;;2;2;16;;;63
10-nov-2012;;3;1;4;2;;1;;;2;1;1;1;1;;;;3;;2;1;;1;;2;;2;1;;13;;;42
10-oct-2012;;26;;1;;;;;;2;1;;1;9;;3;;4;;;1;1;;;;;3;1;2;12;;;67
10-sep-2012;;18;;2;1;;;1;;5;3;1;;6;;;;8;;1;9;;1;;;;2;;1;8;;;67
11-apr-2012;;24;1;4;2;;1;1;1;6;5;;2;5;;;;2;2;2;2;1;;1;;;3;;1;10;;;76
11-aug-2012;;22;;4;2;;;;;8;2;2;;1;;4;;8;3;2;3;;;;;;2;1;4;11;;;79
11-dec-2012;;3;;4;;;;;1;2;1;;;7;;2;;1;1;2;4;;;1;;1;3;;1;12;;;46
11-feb-2012;;20;;;;;;;1;4;;1;;6;;;;2;4;;4;;;;;;2;;2;12;;;58
11-jan-2012;;23;;1;3;;;;;5;;;;8;;2;;4;;1;4;4;;1;1;;;2;3;11;;;73
11-jul-2012;;25;;3;1;;;1;;2;1;1;4;8;;;;6;2;;3;;;;;;1;1;;11;;;70
11-jun-2012;;6;;3;2;;1;;;2;2;2;;4;;1;;1;;2;3;;;;;1;1;;3;7;;;41
11-mar-2012;;14;1;2;2;;;;;7;;;;3;;1;;1;2;2;4;4;;;2;;;2;1;15;;;63
11-may-2012;;21;;4;1;;;;;5;;;;9;;;;2;1;5;6;1;;1;1;;4;3;1;15;;;80
11-nov-2012;;1;1;1;2;;1;1;1;2;;1;1;4;;;1;3;;1;2;1;;;;;1;1;2;10;;;38
11-oct-2012;;25;;3;;;1;;;1;1;;;4;;1;;2;;2;1;1;;;1;;;;3;15;;;61
11-sep-2012;;23;1;3;2;1;;1;;2;1;;;6;;3;;1;1;2;2;1;;;;;1;;2;10;;;63
12-apr-2012;;19;1;5;2;;;;;5;3;1;;6;;2;;3;3;3;3;;;;;;1;1;2;14;;;74
12-aug-2012;;7;;;2;;;;1;3;2;;1;2;;2;;5;1;4;;3;1;;;;2;1;2;6;;;45
12-dec-2012;;1;;4;2;;;;;3;;1;;7;;2;;1;3;1;;1;;;;;3;;2;5;;;36
12-feb-2012;;14;;2;3;1;;;1;5;2;1;;3;;;;4;2;;4;1;;1;1;;2;1;2;9;;;59
12-jan-2012;;24;;;3;;;;2;6;;;;7;;1;;5;2;;2;;;;2;;1;1;1;10;;;67
12-jul-2012;;23;;7;1;;;;;5;1;;1;4;;;2;4;;2;2;2;;;;;;1;2;13;;;70
12-jun-2012;;18;;4;1;;;1;1;4;2;1;1;5;;;;2;4;;2;;;;;;1;1;1;12;;;61
12-mar-2012;;19;;5;1;;1;1;;1;3;;;6;;3;;1;;3;6;3;1;;;;;2;3;13;;;72
12-may-2012;;26;;4;3;;1;;1;1;2;;2;2;;3;;7;1;6;7;2;;3;1;;2;1;4;14;;;93
12-nov-2012;;2;;3;1;;2;1;;;;;;4;;;;3;;1;;;;;;1;;1;1;12;;;32
12-oct-2012;;19;;3;;;;;;5;;1;2;6;;1;;5;1;1;3;;1;1;;;1;3;2;8;;;63
12-sep-2012;;30;;3;;;;;;2;2;;1;9;;;;2;1;;1;3;;;1;;1;1;1;16;;;74
13-apr-2012;;27;;;1;1;;1;;4;3;;1;12;;2;;1;2;;2;;;2;;;1;1;1;9;;;71
13-aug-2012;;32;;2;2;1;;;;3;1;;;3;;;;3;1;2;1;;;;1;1;1;2;3;10;;;69
13-dec-2012;;5;;3;;;;1;1;1;2;;;4;;2;;2;;1;;;;;;;;;4;8;;;34
13-feb-2012;;27;;4;;;1;;;5;3;;;5;;1;;3;2;;3;1;;;;;;1;2;19;;;77
13-jan-2012;;17;1;5;;;;1;;4;1;;;7;;1;;3;2;1;3;4;;;;;;;3;13;;;66
13-jul-2012;;12;;2;;;1;;;4;2;1;;6;;;;1;1;3;4;;;;;1;2;;1;9;;1;51
13-jun-2012;;21;1;3;;;;1;1;4;2;;2;5;;;;3;2;1;3;2;;;1;;1;;1;10;;;64
13-mar-2012;;23;1;3;2;;1;;;3;1;;1;10;;2;;3;;2;;;1;;;;;1;2;11;;;67
13-may-2012;;12;;1;1;1;1;;;4;1;;;3;;1;;3;;3;2;;2;;1;;1;;3;10;;;50
13-nov-2012;;3;;4;1;;1;;;1;;1;;7;;;;2;;;2;;;;;;2;1;;7;;;32
13-oct-2012;;14;2;2;;;;;1;4;1;;;7;;1;;6;;2;1;1;;1;;;1;2;1;13;;;60
13-sep-2012;;12;1;1;;;;;;2;1;2;;4;;;;;1;1;1;;;1;;1;;;7;17;;;52
14-apr-2012;;18;1;1;4;;;;1;14;;1;;1;;;;8;1;2;5;1;;;3;;;1;2;13;;;77
14-aug-2012;;23;;3;;;;;1;2;;;4;7;;1;;3;;2;1;;1;;;;1;;1;15;;;65
14-dec-2012;;3;;1;;;;;;3;;;;5;;2;;1;4;;3;1;1;;1;;1;1;3;5;;;35
14-feb-2012;;34;;6;3;;;;1;4;1;;;4;;2;;4;2;1;5;;2;;1;;;;2;14;;;86
14-jan-2012;;24;;2;4;;;1;;3;;;1;6;;3;;3;2;2;6;3;;;2;;;1;1;14;;;78
14-jul-2012;;22;;7;2;;1;;2;4;2;;1;2;;1;;3;;1;4;1;;;;;3;1;1;11;;1;70
14-jun-2012;;20;;2;1;;;;3;3;;1;2;2;;3;;5;4;1;;3;;;;;;1;3;22;;;76
14-mar-2012;;26;;4;1;;;;1;9;1;;1;8;;1;;3;;4;1;2;;;1;;1;1;2;13;;;80
14-may-2012;;23;;2;;;;;2;2;1;1;1;8;;;;5;;1;3;1;;;1;;3;;;6;;;60
14-nov-2012;;2;;3;;;;;1;3;1;;;5;;1;;5;1;;2;;;2;2;;;;;5;;;33
14-oct-2012;;13;;1;2;;;1;;4;1;1;3;2;;3;1;6;;3;2;2;;;;1;;3;2;10;;;61
14-sep-2012;;19;;6;;;;;1;1;1;2;1;7;;4;;6;1;6;;2;;;2;;;3;3;18;;;83
15-apr-2012;1;13;1;1;4;;;2;;6;5;2;2;3;;;;7;;3;3;3;;;;1;1;1;2;12;;;73
15-aug-2012;;27;2;1;;;;;;2;2;;;12;;;;2;1;3;2;1;2;;2;;1;1;2;15;;;78
15-dec-2012;;11;;6;2;;;;1;4;1;2;;6;;1;;8;1;1;6;4;;;;;2;;1;14;;;71
15-feb-2012;;32;;6;1;1;;1;1;1;;3;;3;;1;;2;1;;3;;;1;;1;3;2;3;8;;;74
15-jan-2012;;18;1;5;2;2;;;1;3;;;1;2;;;;8;;;7;;;;1;;1;1;2;13;;;68
