Etiquetas de fila;AMAZONAS;ANTIOQUIA;ARAUCA;ATLÁNTICO;BOLÍVAR;BOYACÁ;CALDAS;CAQUETÁ;CASANARE;CAUCA;CESAR;CHOCÓ;CÓRDOBA;CUNDINAMARCA;GUAINÍA;GUAJIRA;GUAVIARE;HUILA;MAGDALENA;META;NARIÑO;NORTE DE SANTANDER;PUTUMAYO;QUINDÍO;RISARALDA;SAN ANDRÉS;SANTANDER;SUCRE;TOLIMA;VALLE;Vaupoés;VICHADA;Total general
06-sep-2014;;18;1;3;;;;;;5;2;2;;3;;7;;4;3;;3;4;;;1;2;;1;1;12;;;72
07-apr-2014;;15;1;1;3;;;;;2;3;2;;19;;1;;;2;2;1;3;1;1;;;;;;10;;;67
07-aug-2014;;15;;1;1;;1;;1;2;5;;;6;;2;;1;1;2;1;4;2;;1;1;2;2;;12;;;63
07-dec-2014;;8;3;3;1;1;;;2;4;1;1;2;4;;2;;3;;6;1;4;3;;;1;2;;;7;;;59
07-feb-2014;;27;1;2;1;;;1;1;10;1;1;1;12;;1;;;;2;;1;;;1;;1;3;2;10;;;79
07-jan-2014;;21;2;3;4;;1;1;2;2;2;;2;6;;;;3;1;2;;;;1;;;1;;1;11;;1;67
07-jul-2014;;14;2;1;;;1;1;;4;5;;;10;;2;;1;;2;2;1;1;;2;;1;1;;13;;;64
07-jun-2014;;15;1;6;1;;;1;2;2;5;3;;7;;;;4;;4;;5;1;1;1;;;2;2;12;;;75
07-mar-2014;;20;;3;;;;;2;4;3;2;2;2;;3;;2;;1;2;1;2;;1;;2;;;6;;1;59
07-may-2014;;21;;4;;1;1;;;;3;1;1;6;;1;;1;;3;1;2;;;;;1;1;1;9;;;58
07-nov-2014;;23;;5;2;;;3;;2;3;;1;7;;1;;2;2;6;;4;2;1;2;;3;;;14;;;83
07-oct-2014;;21;;4;1;;;;2;5;3;2;2;17;;;;;;2;5;10;;;1;;2;;2;7;;2;88
07-sep-2014;;7;;2;3;;;2;2;4;5;1;1;4;;1;2;3;3;4;;5;2;1;;;1;3;1;19;;;76
08-apr-2014;;15;;3;1;;1;;;1;3;;1;12;;1;;2;;2;4;3;1;;2;;1;;;10;;;63
08-aug-2014;;17;;4;1;;1;;3;8;5;1;;7;;2;1;;1;3;4;1;1;;;;1;2;;10;;;73
08-dec-2014;;9;3;;1;2;1;;2;3;4;2;1;2;;2;;2;1;4;2;3;;;;;2;;;4;;;50
08-feb-2014;;17;;1;2;;;2;1;5;2;1;;9;;4;;;2;;4;3;2;;;;2;;1;11;;;69
08-jan-2014;;24;;2;1;;;1;1;3;;1;1;14;;;;2;;1;1;2;1;;;;1;;2;9;;1;68
08-jul-2014;;20;2;2;;;;2;1;3;5;;;10;;1;;1;1;1;3;3;1;;3;;1;1;3;10;;;74
08-jun-2014;;5;;5;;;1;;2;8;4;;;5;;;1;3;;5;;;;1;1;;2;;3;8;;;54
08-mar-2014;;17;;;;;;1;2;5;2;2;;2;;;;;1;2;;2;;;1;;;1;2;5;;;45
08-may-2014;;22;1;3;;;1;1;1;4;2;;3;14;;4;;1;3;3;1;2;1;2;1;;2;;1;9;;;82
08-nov-2014;;20;1;3;2;;;1;1;4;2;2;1;5;;5;;6;1;6;1;1;2;;;;1;2;;11;;;78
08-oct-2014;1;23;1;5;;;;1;;2;1;1;2;12;;;;2;1;1;1;2;;1;2;;2;1;2;12;;;76
08-sep-2014;;15;;1;;1;;2;1;5;1;2;;5;;1;;2;1;5;1;2;1;3;;1;2;2;;13;;;67
09-apr-2014;;13;1;4;;;2;1;;4;1;;1;7;;2;;1;2;2;2;2;;;;;3;1;;12;;;61
09-aug-2014;;15;;1;2;;1;1;1;1;4;1;1;10;;1;1;6;2;2;3;2;1;1;2;;2;1;1;10;;;73
09-dec-2014;;15;1;1;1;;;4;2;4;1;;1;11;;4;;1;1;2;3;3;;;2;;;;1;7;;;65
09-feb-2014;;11;2;3;1;;;2;2;2;2;2;;3;;;;3;1;3;2;3;2;;1;1;;1;;4;;;51
09-jan-2014;;23;;1;;;;1;1;3;1;;1;16;;1;;4;2;2;1;5;1;;2;;;;1;9;;;75
09-jul-2014;;24;2;3;;;;;;3;;;1;10;;1;;;1;;3;3;;;1;1;;1;3;8;;;65
09-jun-2014;;15;;3;2;;1;;1;2;4;;2;12;;2;;2;;3;1;1;;;;;;;1;15;;1;68
09-mar-2014;;9;1;3;;;;;4;3;1;3;1;;;1;;3;2;1;1;3;;;1;;2;;1;3;;;43
09-may-2014;;22;;3;;;1;1;;3;1;1;;7;;2;;5;;6;1;2;2;;1;;2;1;;13;;;74
09-nov-2014;;8;1;3;3;;;1;1;3;1;4;1;5;;1;;4;1;4;1;5;;1;1;1;1;1;3;8;;;63
09-oct-2014;;19;;3;2;;3;2;2;2;2;;2;15;;3;;3;;3;2;7;1;1;;;2;2;;10;;;86
09-sep-2014;;14;1;3;3;1;;1;1;2;4;2;1;7;;2;;4;2;1;;3;;;1;;1;;1;13;;;68
10-apr-2014;;19;;2;;1;;1;1;3;;2;;7;;1;;5;;3;;2;;;1;;1;2;2;12;;;65
10-aug-2014;;11;;2;;;;1;1;4;1;;;7;;3;;5;;3;2;4;1;1;;;2;;2;12;;;62
10-dec-2014;;15;2;3;;;;;;6;2;5;1;14;;4;;;;2;2;;1;;1;;4;;;14;;;76
10-feb-2014;;15;;1;;;;;1;2;2;;;16;;;;3;;;2;2;;;;1;1;2;;17;;;65
10-jan-2014;;22;1;;1;;;;;3;2;2;2;7;;;;2;;2;;1;2;;3;;;;1;6;;;57
10-jul-2014;;19;1;5;4;;;;1;2;6;;1;10;;6;;1;2;5;1;4;;;;1;1;;4;11;;;85
10-jun-2014;;9;;5;;;1;;1;2;1;;2;11;;1;;2;1;2;2;5;;;;1;;;2;8;;;56
10-mar-2014;;17;;2;3;;;1;1;2;2;;;14;;;;3;1;2;1;2;;;;;2;1;;13;;;67
10-may-2014;;16;;1;;;;;;2;3;1;2;3;;2;;1;3;2;3;3;1;;;;3;;4;11;;;61
10-nov-2014;;21;;2;;;;1;3;2;;1;3;15;;3;;4;1;4;1;4;;1;;1;2;;;10;;;79
10-oct-2014;1;18;;8;;;;1;3;2;3;1;2;7;;6;;2;;1;;8;;1;1;;1;1;3;11;;;81
10-sep-2014;;23;;4;2;;;1;2;3;2;;3;8;;1;;;;;2;3;;;1;;2;;1;9;;;67
11-apr-2014;;17;;2;1;;1;;;5;2;2;2;9;;1;;1;1;3;1;2;1;1;2;;1;;1;14;;;70
11-aug-2014;;29;;2;;;;2;2;5;5;;4;8;;;;;;;3;4;;1;1;;1;1;;9;;;77
11-dec-2014;;21;;2;;1;;1;2;1;3;1;;7;;3;;3;;;3;5;1;;;;3;2;1;11;;;71
11-feb-2014;;16;;3;1;;;;3;1;3;;;10;;2;;2;4;1;1;;;1;;;;1;2;11;;;62
11-jan-2014;;19;1;1;8;;;;4;3;2;2;;8;;4;;1;1;1;;;;;;;1;;1;9;;;66
11-jul-2014;;22;1;3;;1;;;1;3;1;;3;12;;2;;1;;5;;4;1;;1;;;3;1;9;;;74
11-jun-2014;;16;;7;2;;1;;1;4;3;1;1;12;;5;1;;2;;2;4;;;3;;1;;2;10;;;78
11-mar-2014;;15;;4;;1;;;;2;1;2;;7;;3;;1;1;4;2;4;;1;;;2;;1;10;;;61
11-may-2014;;7;3;;3;;;2;1;2;;;;2;1;;;1;;5;2;1;;;;;1;2;3;13;;;49
11-nov-2014;;20;;5;1;1;;;2;4;;;3;14;;3;;3;2;4;3;1;;;1;;1;1;;13;;;82
11-oct-2014;;22;;5;1;;;1;1;2;1;;3;8;;2;;5;1;4;;1;;;3;1;;1;;4;;;66
11-sep-2014;;22;1;2;3;;;;;2;4;2;1;5;;3;;;1;2;1;3;1;;1;;2;1;2;18;;;77
12-apr-2014;;15;;2;2;1;4;;2;4;1;;2;5;;5;;;4;2;2;1;3;1;1;;2;;1;12;;;72
12-aug-2014;;11;;1;2;;;1;1;5;3;1;;11;;;;1;;4;2;2;1;;1;;2;2;3;20;;;74
12-dec-2014;;19;1;6;;;;1;1;4;2;3;;12;;5;;4;;2;3;3;;;;;1;2;1;16;;;86
12-feb-2014;;26;;3;;1;;1;2;3;2;2;1;9;;2;;2;1;4;3;6;;;;;1;2;1;19;;;91
12-jan-2014;1;10;;;2;;;1;1;3;2;1;1;2;;2;;2;3;2;3;1;1;;;;;;2;5;;;45
12-jul-2014;;12;;1;1;;;1;1;;3;;1;6;;3;;1;1;1;1;6;;;1;;;;;9;;;49
12-jun-2014;;19;1;3;;1;2;3;3;1;4;1;1;12;;3;;3;;4;1;5;1;;1;;1;;;9;;;79
12-mar-2014;;28;;2;;;2;2;4;2;1;1;;15;;1;;2;2;;1;3;;;1;;;4;2;3;;;76
12-may-2014;;25;;9;;;;1;;1;2;;2;7;;3;;2;2;;3;;;;;;1;1;1;8;;;68
12-nov-2014;;22;;3;;;;1;2;1;;3;2;7;;2;;;;1;2;4;;;;;2;;;10;;;62
12-oct-2014;;6;2;3;3;2;1;;2;5;;;1;2;;2;;3;2;3;2;3;1;1;1;;3;1;;8;;;57
12-sep-2014;1;27;;2;1;;;;1;4;3;1;2;12;;3;;2;1;2;6;2;1;1;;;2;;1;4;;;79
13-apr-2014;;5;2;1;2;;1;;;6;3;2;1;3;;;1;;3;2;3;2;;;1;;2;;1;5;;;46
13-aug-2014;;24;1;3;;;1;;;4;1;1;1;9;;;;2;;5;1;3;1;1;;;;;;13;;;71
13-dec-2014;;15;1;1;1;;;1;1;5;;;2;3;;5;;8;2;1;1;7;3;;1;;1;1;;8;;;68
13-feb-2014;;22;;;;;2;;;1;2;1;1;6;;1;;5;;5;2;1;;;;;1;1;1;12;;;64
13-jan-2014;;25;1;2;1;;;1;;1;;3;1;9;;;;;;2;;3;;;1;;2;;;5;;;57
13-jul-2014;;9;1;1;3;;;2;;5;3;;1;12;;3;;1;2;2;2;1;1;;1;1;2;1;2;11;;;67
13-jun-2014;;10;;3;;;;;4;6;2;1;;8;;1;;;1;1;2;7;;;1;;2;;;10;;;59
