Etiquetas de fila,AMAZONAS,ANTIOQUIA,ARAUCA,ATLÁNTICO,BOLÍVAR,BOYACÁ,CALDAS,CAQUETÁ,CASANARE,CAUCA,CESAR,CHOCÓ,CÓRDOBA,CUNDINAMARCA,GUAINÍA,GUAJIRA,GUAVIARE,HUILA,MAGDALENA,META,NARIÑO,NORTE DE SANTANDER,PUTUMAYO,QUINDÍO,RISARALDA,SAN ANDRÉS,SANTANDER,SUCRE,TOLIMA,VALLE,VAUPÉS,VICHADA,Total general
18-aug-2018,,23,1,2,6,,1,1,,11,1,3,3,13,,4,,2,2,3,3,4,1,,1,,4,2,3,5,,,99
18-sep-2018,,18,1,2,2,,,1,,5,4,1,2,11,,1,,3,1,2,2,1,,1,,,4,,1,5,,,68
19-jan-2018,,12,1,3,4,,,1,,7,4,1,2,16,,2,,1,1,1,3,2,4,1,,,5,,,4,,,75
19-feb-2018,,24,2,3,2,1,,1,1,7,4,,5,16,,2,1,3,4,2,2,3,,,,,1,1,2,9,,,96
19-mar-2018,1,6,,5,1,,,,,7,3,,2,9,,5,1,3,4,,2,2,1,1,1,,8,1,1,9,,,73
19-apr-2018,,27,1,2,1,,,1,3,7,3,,5,12,,1,,2,2,2,4,,,,,2,2,2,1,9,,,89
19-may-2018,,30,1,5,5,,,1,1,5,5,,3,12,,3,,2,2,3,3,1,,,,,2,2,2,5,,,93
19-jun-2018,,23,,1,4,,,1,,5,1,2,3,23,,2,,1,2,1,1,,3,1,,,3,,2,9,,,88
19-jul-2018,,30,,5,3,,,3,,6,2,1,,12,,2,,2,1,1,,,2,,1,,3,2,2,14,,,92
19-aug-2018,,13,2,4,9,,,,2,12,6,,2,2,,,,2,1,2,1,4,1,1,1,,4,2,1,8,,,80
19-sep-2018,2,28,,3,1,,,,,5,3,1,5,14,,,,,,2,3,1,,,1,,1,,1,12,,,83
2-jan-2018,1,14,3,1,2,1,,1,,6,2,,1,7,,1,,2,3,2,2,3,,,,,2,,3,5,,,62
2-feb-2018,,33,,,1,,1,2,4,6,4,1,3,13,,1,,3,1,2,,3,,1,1,,2,1,,11,,,94
2-mar-2018,1,25,8,4,1,1,,2,2,5,7,1,3,16,,2,,3,5,2,4,,,1,,,5,3,2,7,,,110
2-apr-2018,,20,1,4,2,1,2,,,5,1,1,4,18,,,1,1,2,2,2,3,,,,,5,,1,14,,,90
2-may-2018,,19,2,2,3,,,1,5,6,5,,1,12,,2,,2,,2,2,3,,2,,,2,1,4,9,,,85
2-jun-2018,1,22,,4,4,1,,,,7,4,1,4,12,,1,,3,2,8,5,1,,,2,,7,1,2,11,,,103
2-jul-2018,,19,1,3,4,,1,,,5,2,2,,8,,1,,7,2,1,2,2,,,,,2,,,7,,,69
2-aug-2018,,21,4,4,4,,1,1,,5,1,,1,19,,3,,2,2,1,4,2,,1,,,1,1,1,9,,,88
2-sep-2018,1,14,,3,5,,,,,6,2,1,4,7,,2,,,2,3,8,2,,,,,2,1,3,16,,,82
20-jan-2018,,22,1,5,4,,1,3,1,7,4,,3,11,,1,,2,2,3,7,4,3,,1,,7,1,1,14,,,108
20-feb-2018,,17,,4,1,,,3,,2,5,,1,14,,2,,1,,2,3,4,,,1,,3,1,1,16,,,81
20-mar-2018,,18,,7,4,,,2,,3,2,,3,18,,6,,,,1,4,2,1,,,,2,1,1,6,,,81
20-apr-2018,,22,2,1,5,,,5,,5,4,2,,11,,4,,,5,4,2,1,,,1,,2,1,,15,,,92
20-may-2018,,12,1,3,4,,1,,1,11,4,1,6,8,,2,,5,1,2,5,,1,,1,1,4,2,,3,,,79
20-jun-2018,,24,,4,4,,1,3,2,6,4,,2,22,,,,,2,4,3,6,,,1,,,2,4,8,,,102
20-jul-2018,,30,1,4,2,,,1,,5,3,2,1,11,,4,,1,5,1,2,2,,,,1,4,1,3,15,,,99
20-aug-2018,,14,,5,6,,,3,1,9,2,1,2,7,,,,2,2,1,6,2,,,,,2,1,1,7,,,74
20-sep-2018,,17,2,1,2,,,1,1,6,2,,3,7,,3,,1,,1,3,4,1,1,,,3,1,1,16,,,77
21-jan-2018,,9,1,2,7,,1,2,3,4,13,3,1,1,,1,,3,3,2,6,3,,,,3,3,4,4,15,,,94
21-feb-2018,,15,3,4,1,,,1,,6,2,2,2,13,,2,,2,2,4,1,,,,,,5,2,3,11,,,81
21-mar-2018,,17,3,4,2,,,2,1,8,4,1,2,9,,2,,6,2,1,4,1,,,,,3,1,1,8,,,82
