Etiquetas de fila;AMAZONAS;ANTIOQUIA;ARAUCA;ATLÁNTICO;BOLÍVAR;BOYACÁ;CALDAS;CAQUETÁ;CASANARE;CAUCA;CESAR;CHOCÓ;CÓRDOBA;CUNDINAMARCA;GUAINÍA;GUAJIRA;GUAVIARE;HUILA;MAGDALENA;META;NARIÑO;NORTE DE SANTANDER;PUTUMAYO;QUINDÍO;RISARALDA;SAN ANDRÉS;SANTANDER;SUCRE;TOLIMA;VALLE;VAUPÉS;VICHADA;Total general
jul-02-2016;;21;;6;4;;;1;2;6;5;2;;7;;1;;4;3;3;5;1;;;1;;3;;2;8;;;85
jul-03-2016;1;13;1;2;;;1;1;7;8;2;;7;3;;4;;1;2;4;4;1;;1;1;2;2;2;1;13;;;84
jul-04-2016;;14;;2;2;;;;;10;4;;1;7;;3;;4;3;;6;2;;1;1;;1;2;2;13;;;78
jul-05-2016;;23;;2;;;;;3;2;3;;4;10;;;;2;2;5;1;1;;;;;2;1;1;9;;;71
jul-06-2016;;23;1;5;1;;;2;1;9;3;;1;11;;3;;3;1;1;2;5;2;;3;;5;;1;9;;;92
jul-07-2016;;24;;8;2;;;2;3;7;1;;;15;;5;;5;3;;2;4;1;;;;2;5;;6;;;95
jul-08-2016;;27;;3;1;;2;2;2;3;6;;1;8;;6;;5;2;3;5;3;1;;1;;5;3;;11;;;100
jul-09-2016;;19;;3;2;;;;2;5;14;1;;2;;7;;1;5;2;4;2;;3;1;;3;2;3;15;;;96
jul-10-2016;;10;;4;;;;3;3;5;1;;2;4;;4;;4;1;2;2;2;;;1;1;3;1;1;13;;;67
jul-11-2016;;21;;1;1;;;;;4;6;1;2;9;;;;;1;1;;4;1;;1;;1;3;;16;;;73
jul-12-2016;;13;;3;1;;;;2;9;4;1;1;12;;4;;3;;5;2;2;;1;;;3;1;2;10;;;79
jul-13-2016;;23;;4;1;;;2;2;9;2;3;;11;;3;1;1;2;1;;2;;;1;;;2;;5;;;75
jul-14-2016;;30;;5;2;;;2;;6;3;;2;11;;2;;1;;2;3;5;;;1;;5;2;1;15;;;98
jul-15-2016;4;26;;6;1;;1;3;2;2;3;1;2;5;;9;;2;;2;3;2;3;1;;;;5;1;14;;;98
jul-16-2016;;10;;5;3;;1;1;2;8;4;1;1;5;;8;;3;4;5;3;4;;;1;1;;1;1;6;;;78
jul-17-2016;;10;;6;4;1;;4;1;10;2;;9;2;;4;;5;1;2;1;3;;;1;;1;1;3;13;;;84
jul-18-2016;;27;;5;1;;;;2;11;3;1;1;11;;;;2;2;3;2;5;;;1;;1;1;2;15;;;96
jul-19-2016;1;25;;7;;;;;;4;2;;3;10;;2;;2;3;3;1;2;;1;;1;2;1;;9;;;79
jul-20-2016;;19;;1;;;;2;2;6;6;;1;3;;;;2;2;2;1;2;;;1;;1;2;;11;;1;65
jul-21-2016;;27;1;4;1;;;2;2;7;1;;2;10;;2;;1;3;3;2;4;;;3;;3;1;1;8;;;88
jul-22-2016;;20;;5;1;;1;;1;5;2;;2;12;;2;;1;3;;4;1;;1;;;4;2;1;16;;;84
jul-23-2016;;16;;4;1;1;;1;4;7;4;1;;5;;1;1;6;6;1;1;4;3;;1;;3;2;1;11;;;85
jul-24-2016;;15;;9;1;;1;;2;13;4;1;2;3;;1;1;2;1;2;1;5;1;;;;4;4;3;7;;;83
jul-25-2016;;29;;4;1;;;1;1;2;3;4;3;15;;4;;2;3;;;1;;2;;;3;3;;16;;;97
jul-26-2016;1;22;1;2;1;;;4;4;1;4;1;;12;;;;2;;;3;1;;;;;4;;;18;;;81
jul-27-2016;;32;;6;;;;2;1;6;1;1;1;13;;2;1;4;1;3;4;3;1;;2;;5;1;2;16;;;108
jul-28-2016;;18;;9;1;1;;2;1;2;5;;2;7;;9;;1;2;4;1;1;;;1;1;1;;;10;;1;80
jul-29-2016;1;17;;2;;;;2;3;3;3;;4;10;;6;;;2;3;3;2;;2;1;;2;1;1;9;;;77
jul-30-2016;;19;;10;1;;;3;1;5;2;1;1;6;;3;;2;;1;3;;;3;2;1;3;1;2;8;;;78
jul-31-2016;;17;;4;2;;2;1;3;8;5;;;4;;2;;2;3;3;1;2;;;1;;1;1;;10;;;72
jun-01-2016;;23;;5;2;1;3;;1;5;12;1;2;11;;2;;4;1;3;1;1;;1;1;;2;;;7;;;89
jun-02-2016;1;27;;5;2;;1;2;;4;1;;1;9;;2;;1;;6;2;2;;;1;;4;4;;8;;;83
jun-03-2016;;21;;1;1;;;;;1;6;;2;9;;;1;2;;1;2;3;;;1;;3;3;;5;;;62
jun-04-2016;1;18;;5;2;1;1;1;3;5;4;2;2;8;;3;;2;2;4;4;2;3;;1;1;2;3;;12;;;92
jun-05-2016;;10;;4;1;;1;2;1;10;5;;3;2;;2;;4;2;5;1;3;2;4;;1;;2;;13;;;78
jun-06-2016;;15;;6;;;;1;;10;3;;2;5;;;;2;;;1;3;;;3;;5;;;8;;;64
jun-07-2016;;20;;3;2;;1;1;;;9;;3;9;;3;;1;2;1;1;4;1;;1;1;4;2;1;10;;;80
jun-08-2016;;26;;5;1;;;1;4;4;3;;2;9;;3;;1;;1;1;;1;;2;;3;1;3;17;;1;89
jun-09-2016;;24;;4;;;1;1;4;5;2;1;1;13;;7;;2;3;1;2;5;1;;;;1;;;7;;;85
jun-10-2016;;19;;4;;;;1;1;5;4;;;14;;2;;;2;3;3;4;1;;1;1;1;1;;11;;;78
jun-11-2016;1;15;;5;1;;;1;2;8;4;;3;9;;6;;3;;1;1;4;1;;2;;4;2;;7;;;80
jun-12-2016;1;13;1;1;1;;;2;;12;4;1;4;2;;4;1;5;2;4;3;1;2;;1;;4;4;1;16;;1;91
jun-13-2016;;17;;8;2;2;;1;2;8;7;;2;8;;4;1;3;1;;;2;1;1;1;1;2;6;1;10;;;91
jun-14-2016;;18;1;4;;;;1;2;8;5;1;3;8;;2;;3;3;;;3;2;;1;;3;;3;9;;;80
jun-15-2016;;16;;3;2;1;;1;;6;4;3;1;20;;3;;5;2;1;2;1;1;;2;;5;1;3;13;;;96
jun-16-2016;;31;;8;;;;4;2;6;2;1;2;6;;1;;1;2;2;3;8;;1;;;2;2;;12;;;96
jun-17-2016;;20;;6;2;;;3;;7;6;;;11;;6;;;3;3;2;3;1;1;1;;2;5;1;15;;;98
jun-18-2016;;24;;3;4;;;1;1;9;2;1;4;3;;4;1;6;4;3;2;3;;;2;;1;5;2;16;;;101
jun-19-2016;;17;;9;1;1;1;1;1;8;4;1;1;10;;1;;2;1;4;6;4;1;2;;;1;3;2;9;;;91
jun-20-2016;;23;2;4;1;;;1;1;8;2;2;3;11;;2;;3;1;2;1;3;1;1;1;;3;;1;11;;;88
jun-21-2016;;16;;4;1;;;;2;1;5;;2;10;;2;;;3;1;2;2;;;;;3;;;11;;;65
jun-22-2016;;18;1;8;;;;;;4;1;2;2;19;;4;1;3;1;1;;4;;;1;;;;1;15;;;86
jun-23-2016;;18;;4;3;;;2;2;4;3;1;2;10;;1;;4;;2;1;4;;;3;;3;2;;14;;;83
jun-24-2016;;21;;6;1;;1;3;;2;2;1;2;9;;3;;1;2;3;;2;;2;3;;4;;;13;;;81
jun-25-2016;;23;2;5;;;1;3;1;7;5;1;;11;;2;;4;1;4;1;2;;;1;;3;;;17;;;94
jun-26-2016;1;16;1;;;;1;3;5;8;3;1;1;4;;4;;6;2;1;3;4;1;1;1;1;4;;1;13;;1;87
jun-27-2016;;19;1;8;2;;;1;;6;1;;2;9;;1;;5;1;3;5;4;1;1;1;1;2;2;2;15;;1;94
jun-28-2016;;13;1;9;1;1;;;3;8;2;1;;8;;3;;1;1;3;;4;;;;;4;;;13;;;76
jun-29-2016;;24;;6;3;;;1;2;7;1;1;2;11;;2;;1;1;;3;2;2;;;;3;2;;13;;;87
jun-30-2016;;21;;2;2;;;2;1;8;4;1;;10;;7;;3;1;3;3;4;1;1;4;;7;;;11;;;96
